,bearing,cruise,dx,latitude,longitude,month,station,year
2240,-15.159102669102502,165.0,6.797382922490712,55.186000000000014,-54.058,7.0,116.0,2002.0
2241,-31.37936696324701,165.0,54.28874336554142,55.602000000000004,-53.60799999999997,7.0,118.0,2002.0
2242,-26.18565257878585,165.0,30.13340616796812,55.84500000000002,-53.39499999999999,7.0,122.0,2002.0
2243,-31.01078683312125,165.0,47.175633971158646,56.20799999999998,-53.00199999999998,7.0,128.0,2002.0
2244,-33.94883018283822,165.0,43.91847171744024,56.535,-52.602000000000004,7.0,129.0,2002.0
2245,-26.258613099781726,165.0,52.89314826320081,56.96100000000001,-52.216,7.0,132.0,2002.0
2246,-118.81648891372305,165.0,0.6919841982917717,56.958000000000006,-52.20599999999999,7.0,134.0,2002.0
2247,-27.890340075394295,165.0,52.79800818549576,57.37699999999998,-51.79399999999999,7.0,138.0,2002.0
2248,-65.11953370117371,165.0,0.26430938414630806,57.37799999999999,-51.789999999999985,7.0,150.0,2002.0
2249,-30.05344230075239,165.0,54.189931992732646,57.798999999999985,-51.33200000000002,7.0,156.0,2002.0
2250,-29.62189971076304,165.0,53.440772782418875,58.216,-50.880999999999986,7.0,157.0,2002.0
2251,7.677730083282665e-11,165.0,0.5559746332227591,58.221,-50.881,7.0,164.0,2002.0
2252,-30.547602221200616,165.0,54.08278756493746,58.638999999999974,-50.40600000000003,7.0,166.0,2002.0
2253,-29.41731752084014,165.0,55.385098492595105,59.072000000000024,-49.929999999999986,7.0,175.0,2002.0
2254,-29.28939936058056,165.0,52.628342320489935,59.484000000000016,-49.47400000000001,7.0,182.0,2002.0
2255,180.0,165.0,0.22238985329278171,59.48199999999998,-49.47400000000001,7.0,184.0,2002.0
2256,-29.758545995060548,165.0,34.75745468035556,59.75299999999999,-49.16599999999997,7.0,193.0,2002.0
2257,-29.914870411098807,165.0,29.668539911924043,59.98399999999999,-48.9,7.0,205.0,2002.0
2258,-28.176648728528026,165.0,25.75621143114488,60.188000000000024,-48.679999999999986,7.0,211.0,2002.0
2259,-33.93085734986659,165.0,23.347043517836905,60.362,-48.443,7.0,215.0,2002.0
2260,-28.08512635189705,165.0,26.113196838855153,60.56899999999999,-48.217999999999996,7.0,222.0,2002.0
2261,149.9216968360429,165.0,15.538591463640337,60.44799999999999,-48.36000000000001,7.0,229.0,2002.0
2262,149.6720432012548,165.0,20.08024966794398,60.29200000000001,-48.54399999999999,7.0,235.0,2002.0
2263,-153.58892025317422,165.0,200.5902676436674,58.667000000000016,-47.001000000000005,7.0,243.0,2002.0
2264,22.584581875741343,165.0,0.6021589312889871,58.67200000000002,-47.00500000000002,7.0,246.0,2002.0
2265,-39.2152664879758,165.0,48.09079742365992,59.006,-46.47400000000002,7.0,249.0,2002.0
2266,-40.114276167665786,165.0,47.708398666683784,59.33299999999999,-45.93200000000001,7.0,258.0,2002.0
2267,-39.02760372392351,165.0,7.733445054033454,59.38699999999998,-45.846,7.0,259.0,2002.0
2268,-33.52735798328578,165.0,9.207874489437886,59.45600000000001,-45.75599999999999,7.0,262.0,2002.0
2269,-35.253156536079175,165.0,10.354489248826,59.532,-45.65,7.0,264.0,2002.0
2270,-91.91200598481443,165.0,90.57791275077771,59.494999999999976,-44.04600000000002,7.0,268.0,2002.0
2271,-176.1793229070993,165.0,27.30300096749677,59.25,-44.014,7.0,270.0,2002.0
2272,-179.03665106270932,165.0,27.24658074619638,59.005,-44.005999999999986,7.0,272.0,2002.0
2273,-179.70531836187217,165.0,56.48775899779235,58.496999999999986,-44.001000000000005,7.0,276.0,2002.0
2274,178.04771607534732,165.0,27.48098700809732,58.25,-44.017,7.0,278.0,2002.0
